addr,chargeTp,cpNm,csId,csNm
경기도 여주시 강천면 간매리 271-1 강천면 주민자치센터,2,급속01,4715,강천면 주민자치센터
경기도 여주시 흥천면 효지리 376-6 흥천면 행정복지센터,2,급속01,4716,흥천면 행정복지센터
경기도 여주시 가남읍 심석리 417-6 가남읍 심석리 516-4,2,급속02,4719,가남읍사무소
경기도 여주시 가남읍 심석리 417-6 가남읍 심석리 516-4,2,급속01,4719,가남읍사무소
경기도 동두천시 탑동동 799 옥외주차장,2,급속01,4274,동두천국민체육센터
경기도 동두천시 상봉암동 15 옥외주차장,2,급속01,4273,소요별앤숲테마파크
경기도 동두천시 탑동동 799 옥외주차장,2,급속02,4274,동두천국민체육센터
경기도 남양주시 화도읍 마석우리 548 옥외주차장,2,급속01,4106,화도수동행정복지센터
경기도 양평군 양서면 경강로 954 (대심리) 양평만남의광장 지상주차장,2,급속03,4395,양평만남의광장 전기차충전소
경기도 김포시 마산동 642-1 주차장,2,급속02,4467,솔터체육공원
경기도 김포시 마산동 642-1 주차장,2,급속01,4467,솔터체육공원
경기도 김포시 마산동 642-1 주차장,2,급속03,4467,솔터체육공원
"경기도 고양시 일산서구 중앙로 1601 (대화동, 고양체육관) 지하주차장",2,급속01,4730,고양체육관
"경기도 고양시 일산서구 중앙로 1601 (대화동, 고양체육관) 지하주차장",2,급속02,4730,고양체육관
경기도 용인시 처인구 남사읍 북리 54-10 현대리바트 내 주차장,2,급속01,4795,남사 현대리바트(공용)
경기도 화성시 향남읍 상신리 1295-2 화성시 향남읍 상신리 1294-3,2,급속01,4037,상신리 공영주차장
경기도 화성시 송동 681-244 주차장 내,2,급속01,4033,동탄2 크린에너지센터
경기도 오산시 오산동 915 시청 주차장 내,2,급속01,4031,오산시청
경기도 화성시 장지동 927 지하주차장 내,2,급속01,4032,동탄8동 행정복지센터
경기도 의왕시 오전동 852 평생학습관 입구(도로측),2,급속01,4521,의왕시평생학습관
경기도 의왕시 포일동 686 어울림센터 입구 좌측,2,급속01,4522,포일어울림센터
경기도 의왕시 내손동 849-2 주차장 내,2,급속01,4520,내손동공용청사
경기도 의왕시 내손동 849-2 주차장 내,2,급속02,4520,내손동공용청사
경기도 의왕시 포일동 686 어울림센터 입구 좌측,2,급속02,4522,포일어울림센터
경기도 오산시 오산동 750-1 주차타워 1층,2,급속01,4591,맑음터공원
"경기도 오산시 대호로62번길 63-11 (궐동, 궐동 공영주차장) 주차타워 1층",2,급속01,4587,궐동공영주차장
경기도 오산시 오산동 750-1 주차타워 1층,2,급속02,4591,맑음터공원
경기도 의왕시 오전동 852 평생학습관 입구(도로측),2,급속02,4521,의왕시평생학습관
경기도 용인시 처인구 이동읍 어비리 1462 장례식장 옆 지상주차장,2,급속01,4608,용인도시공사 평온의숲
경기도 양주시 은현면 용암리 784-3 주차장,2,급속01,4625,예원예술대학교
경기도 양주시 옥정동 1035-1 주차장,2,급속01,4624,옥정 호수스포츠센터
경기도 광주시 송정동 570 민원실 앞 주차장,2,급속01,4632,광주시청 공용전기차충전소
경기도 여주시 능서면 신지리 955-5 한국농어촌공사 여주이천지사,2,급속01,4598,한국농어촌공사 여주이천지사
"경기도 하남시 덕풍공원로 40-1 (덕풍동, 덕풍동공영주차장) 지하1층",2,급속01,4063,덕풍어린이공원 공영주차장
경기도 광주시 곤지암읍 곤지암리 555 공영주차장 내,2,급속02,4147,곤지암 공영주차장
경기도 화성시 우정읍 조암리 265-1 경찰서 건너 공영주차타워 1층,2,급속01,4036,우정공영주차장
경기도 평택시 죽백6로 20 (죽백동) 배다리도서관 주차장,2,급속01,4075,배다리도서관
경기도 평택시 평택동 185-47 원평제1공영주차장,2,급속01,4076,원평제1공영주차장
