addr,chargeTp,cpNm,csId,csNm
서울특별시 마포구 토정로37길 38 지상 주차장,2,급속02,13,마포용산지사
"서울특별시 노원구 공릉동 172 어학교육관,테크노큐브",2,급속02,3816,서울과학기술대학교
"서울특별시 노원구 공릉동 172 어학교육관,테크노큐브",2,급속03,3816,서울과학기술대학교
"서울특별시 노원구 공릉동 172 어학교육관,테크노큐브",2,급속01,3816,서울과학기술대학교
서울특별시 강남구 대치동 980-9 지하2층 주차장,2,급속01,3768,대치2문화센터 공영주차장
"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점건물) 지하주차장 3층",2,급속01,3849,신세계 본점
서울특별시 서초구 반포동 산 94-1 자료보존관앞 지상주차장,2,급속01,3767,국립 중앙도서관
서울특별시 서초구 반포동 산 94-1 자료보존관앞 지상주차장,2,급속02,3767,국립 중앙도서관
서울특별시 서초구 반포동 19-3 지하4층,2,급속01,3850,신세계 강남점
서울특별시 서초구 반포동 19-3 지하4층,2,급속02,3850,신세계 강남점
"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점건물) 지하주차장 3층",2,급속02,3849,신세계 본점
"서울특별시 노원구 중계동 508 B1 ,11",2,급속02,3994,북서울시립미술관
"서울특별시 노원구 중계동 508 B1 ,11",2,급속01,3994,북서울시립미술관
"서울특별시 노원구 중계동 508 B1 ,11",2,급속04,3994,북서울시립미술관
"서울특별시 노원구 중계동 508 B1 ,11",2,급속03,3994,북서울시립미술관
서울특별시 영등포구 여의도동 21 남서울본부 여의사옥 지사주차장 출구측,2,급속01,20,남서울직할
서울특별시 송파구 송파동 128 실내 주차장 1층,2,급속01,3770,송파공영주차장
서울특별시 강서구 화곡동 980-27 지상주차장,2,급속01,4629,강서경찰서 민원인주차장
서울특별시 강북구 번동 90 방문자센터 주차장 2층,2,급속02,4143,북서울꿈의숲
서울특별시 강북구 번동 90 방문자센터 주차장 2층,2,급속01,4143,북서울꿈의숲
서울특별시 강서구 마곡동 745 지상주차장,2,급속01,4042,서울남부출입국 외국인사무소
서울특별시 구로구 구로동 102 지하2층 주차장,2,급속01,4055,구로아트밸리 지하2층
서울특별시 관악구 신림동 1577-4 지하1층 주차장,2,급속01,4054,관악구 평생학습관
서울특별시 양천구 신정동 319-15 지상주차장,2,급속01,4043,강서수도사업소
서울특별시 강서구 마곡동 801-7 지하2층 주차장,2,급속01,4040,마곡 이웰메디파크
서울특별시 양천구 목동 965-1 지하2층 주차장,2,급속01,4053,등마루 공영주차장
서울특별시 강서구 과해동 676 지상1층,2,급속01,4627,한국공항공사 고객전용주차장
서울특별시 양천구 신월동 446-4 지상1층주차장,2,급속01,4615,경창시장 고객주차장
서울특별시 강북구 미아동 190-1 지하 1층 주차장,2,급속04,10,강북성북지사(공용)
서울특별시 서대문구 홍제동 38-69 출입문 인근,2,급속01,3995,서부수도사업소
서울특별시 서초구 잠원로3길 40 지하2층 주차장,2,급속01,4058,태남빌딩 주차장
서울특별시 서초구 잠원동 10-33 지상주차장,2,급속01,4059,잠원동방음언덕형 공영주차장
서울특별시 관악구 봉천동 225 주차장,2,급속01,4524,관악구 종합체육센타
서울특별시 서초구 양재동 370-5 지하2층주차장,2,급속01,4617,동산마을 공영주차장
서울특별시 서초구 반포동 730-2 지상주차장,2,급속01,4056,반포동방음언덕형 공영주차장
서울특별시 서초구 양재동 399 지하1층 주차장,2,급속01,4057,구룡공원 공영주차장
서울특별시 서초구 염곡동 300-9 지상 주차장,2,급속02,4613,대한무역투자진흥공사
서울특별시 서초구 염곡동 300-9 지상 주차장,2,급속01,4613,대한무역투자진흥공사
서울특별시 노원구 노해로 429 1층 주차장,2,급속02,104,노원도봉지사
서울특별시 도봉구 방학동 498-16 ,2,급속01,4803,방학3동 주민센터
서울특별시 도봉구 방학동 632-1 주차장,2,급속01,4807,도깨비시장 공영주차장
서울특별시 동작구 대방동 67-1 지상주차장,2,급속01,4044,대방중간집하장 공영주차장
서울특별시 노원구 공릉동 215-4 장례식장 건물 앞 1층,2,급속01,4146,한국원자력의학원
서울특별시 영등포구 당산동3가 385 지하2층주차장,2,급속01,4616,당산근린지하공영주차장
서울특별시 영등포구 당산동3가 385 지하2층주차장,2,급속02,4616,당산근린지하공영주차장
서울특별시 강북구 미아동 190-1 지하 1층 주차장,2,급속01,3500,강북성북지사
